Oración original,label original,Puntaje Positivo,Puntaje Negativo,Resultado de inferencia,tiempo de ejecución
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,,0.382,0.0,Negativo,0.011226415634155273
reading my kindle love it lee childs is good read,,0.47,0.0,Negativo,0.009608030319213867
ok first assesment of the kindle it fucking rocks,,0.216,0.0,Negativo,0.009375572204589844
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,,0.204,0.135,Neutro,0.01032400131225586
fair enough but i have the kindle and i think it s perfect,,0.456,0.0,Negativo,0.010046720504760742
no it is too big i m quite happy with the kindle,,0.281,0.155,Neutro,0.010943412780761719
fuck this economy i hate aig and their non loan given asses,,0.0,0.444,Negativo,0.010032892227172852
jquery is my new best friend,,0.649,0.0,Negativo,0.009114980697631836
loves twitter,,0.787,0.0,Negativo,0.009972095489501953
how can you not love obama he makes jokes about himself,,0.139,0.234,Neutro,0.009505510330200195
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,,0.127,0.182,Neutro,0.01867961883544922
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,,0.0,0.0,Negativo,0.00928187370300293
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,,0.337,0.0,Negativo,0.009522676467895508
dear nike stop with the flywire that shit is a waste of science and ugly love,,0.245,0.43,Neutro,0.009487628936767578
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __,,0.216,0.0,Negativo,0.009888410568237305
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,,0.067,0.238,Neutro,0.009836435317993164
i love lebron,,0.808,0.0,Negativo,0.00923776626586914
lebron is a beast but i m still cheering the a til the end,,0.331,0.0,Negativo,0.017698287963867188
lebron is the boss,,0.0,0.0,Negativo,0.009624958038330078
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,,0.488,0.0,Negativo,0.009770870208740234
lebron and zydrunas are such an awesome duo,,0.369,0.0,Negativo,0.009404182434082031
lebron is a beast nobody in the nba comes even close,,0.0,0.0,Negativo,0.009057283401489258
downloading apps for my iphone so much fun there literally is an app for just about anything,,0.183,0.0,Negativo,0.009629964828491211
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,,0.225,0.312,Neutro,0.010488271713256836
awesome come back from via,,0.506,0.0,Negativo,0.011673450469970703
in montreal for a long weekend of r amp r much needed,,0.0,0.0,Negativo,0.010473251342773438
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,,0.422,0.0,Negativo,0.010358333587646484
mluc customer innovation award winner booz allen hamilton,,0.664,0.0,Negativo,0.011739492416381836
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,,0.101,0.121,Neutro,0.010346174240112305
google is always a good place to look should ve mentioned i worked on the mustang w my dad,,0.162,0.0,Negativo,0.010375261306762695
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,,0.085,0.238,Neutro,0.00994253158569336
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,,0.0,0.098,Negativo,0.012682437896728516
omg so bored amp my tattoooos are so itchy help aha,,0.185,0.319,Neutro,0.009917497634887695
i m itchy and miserable,,0.0,0.841,Negativo,0.010477304458618164
no i m not itchy for now maybe later lol,,0.391,0.186,Positivo,0.010547161102294922
rt i love the nerdy stanford human biology videos makes me miss school,,0.263,0.175,Neutro,0.009568214416503906
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,,0.145,0.178,Neutro,0.010411977767944336
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much,,0.245,0.0,Negativo,0.009636163711547852
is going to sleep then on a bike ride,,0.0,0.0,Negativo,0.00919342041015625
cant sleep my tooth is aching,,0.0,0.39,Negativo,0.00973653793334961
blah blah blah same old same old no plans today going back to sleep i guess,,0.0,0.368,Negativo,0.009344100952148438
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf,,0.146,0.32,Neutro,0.009362459182739258
obama administration must stop bonuses to aig ponzi schemers,,0.281,0.172,Neutro,0.0091094970703125
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,,0.0,0.098,Negativo,0.009443998336791992
shaunwoo hate n on aig,,0.0,0.552,Negativo,0.009844541549682617
you will not regret going to see star trek it was awesome,,0.391,0.0,Negativo,0.009291410446166992
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,,0.0,0.13,Negativo,0.011164665222167969
highly recommend by malcolm gladwell,,0.411,0.0,Negativo,0.009398221969604492
blink by malcolm gladwell amazing book and the tipping point,,0.297,0.0,Negativo,0.011120796203613281
malcolm gladwell might be my new man crush,,0.0,0.186,Negativo,0.011358261108398438
omg the commercials alone on espn are going to drive me nuts,,0.0,0.301,Negativo,0.004555702209472656
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,,0.362,0.0,Negativo,0.010333061218261719
hello twitter api,,0.0,0.0,Negativo,0.009461402893066406
because the twitter api is slow and most client s aren t good,,0.24,0.0,Negativo,0.009366750717163086
yahoo answers can be a butt sometimes,,0.0,0.0,Negativo,0.009063243865966797
is scrapbooking with nic d,,0.0,0.0,Negativo,0.009568452835083008
rt five things wolfram alpha does better and vastly different than google,,0.209,0.0,Negativo,0.009957313537597656
just changed my default pic to a nike basketball cause bball is awesome,,0.272,0.0,Negativo,0.009897470474243164
rt was just told that nike layoffs started today,,0.0,0.0,Negativo,0.00982975959777832
back when i worked for nike we had one fav word just do it,,0.2,0.0,Negativo,0.01129150390625
by the way i m totally inspired by this freaky nike commercial,,0.25,0.179,Neutro,0.017870664596557617
class the d is supposed to come today,,0.0,0.0,Negativo,0.01941847801208496
needs someone to explain lambda calculus to him,,0.0,0.0,Negativo,0.011246919631958008
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,,0.1,0.142,Neutro,0.01802968978881836
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,,0.197,0.092,Neutro,0.012750864028930664
yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer,,0.0,0.112,Negativo,0.012325763702392578
great stanford course thanks for making it available to the public really helpful and informative for starting off,,0.402,0.0,Negativo,0.018174409866333008
work til pm lets go lakers,,0.0,0.0,Negativo,0.01182866096496582
damn you north korea,,0.0,0.474,Negativo,0.0050237178802490234
can we just go ahead and blow north korea off the map already,,0.0,0.0,Negativo,0.011224508285522461
north korea please cease this douchebaggery china doesn t even like you anymore,,0.324,0.0,Negativo,0.011753559112548828
why the hell is pelosi in freakin china and on whose dime,,0.0,0.295,Negativo,0.010722160339355469
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,,0.0,0.184,Negativo,0.011178016662597656
insects have infected my spinach plant,,0.0,0.39,Negativo,0.009908437728881836
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,,0.206,0.117,Neutro,0.017695903778076172
just got back from church and i totally hate insects,,0.0,0.333,Negativo,0.009730100631713867
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it,,0.189,0.28,Neutro,0.01038980484008789
omgg i ohhdee want mcdonalds damn i wonder if its open lol,,0.297,0.196,Neutro,0.01032876968383789
history exam studying ugh,,0.0,0.483,Negativo,0.009632110595703125
i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good,,0.0,0.394,Negativo,0.009659767150878906
higher physics exam tommorow not lookin forward to it much,,0.0,0.0,Negativo,0.009510040283203125
it s a bank holiday yet i m only out of work now exam season sucks,,0.178,0.164,Neutro,0.00925588607788086
cheney and bush are the real culprits,,0.0,0.0,Negativo,0.009719610214233398
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,,0.0,0.401,Negativo,0.010486364364624023
